Слово,Словарь тихонова,Словарь CrossLexica,POS
смерзаться, с:PREF/мерз:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/мерз:ROOT/ать:END/ся:POSTFIX, VERB
вычисляться, вы:PREF/числ:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/числ:ROOT/ять:END/ся:POSTFIX, VERB
прознать, про:PREF/зна:ROOT/ть:SUFF, про:PREF/зн:ROOT/ать:END, VERB
выполнить, вы:PREF/полн:ROOT/и:SUFF/ть:SUFF, вы:PREF/полн:ROOT/ить:END, VERB
ограждаться, огражд:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, о:PREF/гражд:ROOT/ать:END/ся:POSTFIX, VERB
выстроиться, вы:PREF/стро:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/стро:ROOT/ить:END/ся:POSTFIX, VERB
разгораживаться, раз:PREF/гораж:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, раз:PREF/гораж:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
доказывать, доказ:ROOT/ыва:SUFF/ть:SUFF, до:PREF/каз:ROOT/ыв:SUFF/ать:END, VERB
забыть, забы:ROOT/ть:SUFF, за:PREF/бы:ROOT/ть:END, VERB
причинять, причин:ROOT/я:SUFF/ть:SUFF, при:PREF/чин:ROOT/ять:END, VERB
вдвинуть, в:PREF/дви:ROOT/ну:SUFF/ть:SUFF, в:PREF/дви:ROOT/н:SUFF/уть:END, VERB
валять, вал:ROOT/я:SUFF/ть:SUFF, вал:ROOT/ять:END, VERB
выбраться, вы:PREF/бр:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/бр:ROOT/ать:END/ся:POSTFIX, VERB
обхамить, об:PREF/хам:ROOT/и:SUFF/ть:SUFF, об:PREF/хам:ROOT/ить:END, VERB
пробиваться, про:PREF/би:ROOT/ва:SUFF/ть:SUFF/ся:POSTFIX, про:PREF/би:ROOT/ва:SUFF/ть:END/ся:POSTFIX, VERB
войти, во:PREF/й:ROOT/ти:SUFF, во:PREF/й:ROOT/ти:END, VERB
вносить, в:PREF/нос:ROOT/и:SUFF/ть:SUFF, в:PREF/нос:ROOT/ить:END, VERB
актуализировать, актуал:ROOT/из:SUFF/ир:SUFF/ова:SUFF/ть:SUFF, акт:ROOT/уал:SUFF/из:SUFF/ир:SUFF/ов:SUFF/ать:END, VERB
забодать, за:PREF/бод:ROOT/а:SUFF/ть:SUFF, за:PREF/бод:ROOT/ать:END, VERB
вытирать, вы:PREF/тир:ROOT/а:SUFF/ть:SUFF, вы:PREF/тир:ROOT/ать:END, VERB
брать, бр:ROOT/а:SUFF/ть:SUFF, бр:ROOT/ать:END, VERB
передвигать, пере:PREF/двиг:ROOT/а:SUFF/ть:SUFF, пере:PREF/двиг:ROOT/ать:END, VERB
побираться, по:PREF/бир:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, по:PREF/бир:ROOT/ать:END/ся:POSTFIX, VERB
расхищаться, рас:PREF/хищ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, рас:PREF/хищ:ROOT/ать:END/ся:POSTFIX, VERB
выпекать, вы:PREF/пек:ROOT/а:SUFF/ть:SUFF, вы:PREF/пек:ROOT/ать:END, VERB
сваляться, с:PREF/вал:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/вал:ROOT/ять:END/ся:POSTFIX, VERB
сбить, с:PREF/би:ROOT/ть:SUFF, с:PREF/би:ROOT/ть:END, VERB
придвинуть, при:PREF/дви:ROOT/ну:SUFF/ть:SUFF, при:PREF/дви:ROOT/н:SUFF/уть:END, VERB
бросать, брос:ROOT/а:SUFF/ть:SUFF, брос:ROOT/ать:END, VERB
забрезжить, за:PREF/брезж:ROOT/и:SUFF/ть:SUFF, за:PREF/брезж:ROOT/ить:END, VERB
прокрутить, про:PREF/крут:ROOT/и:SUFF/ть:SUFF, про:PREF/крут:ROOT/ить:END, VERB
голодать, голод:ROOT/а:SUFF/ть:SUFF, голод:ROOT/ать:END, VERB
уломать, у:PREF/лом:ROOT/а:SUFF/ть:SUFF, у:PREF/лом:ROOT/ать:END, VERB
ограничиваться, о:PREF/гранич:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, о:PREF/гран:ROOT/ич:SUFF/ив:SUFF/ать:END/ся:POSTFIX, VERB
вбросать, в:PREF/брос:ROOT/а:SUFF/ть:SUFF, в:PREF/брос:ROOT/ать:END, VERB
оцениваться, о:PREF/цен:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, о:PREF/цен:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
вычитывать, вы:PREF/чит:ROOT/ыва:SUFF/ть:SUFF, вы:PREF/чит:ROOT/ыв:SUFF/ать:END, VERB
богатеть, богат:ROOT/е:SUFF/ть:SUFF, бог:ROOT/ат:SUFF/еть:END, VERB
прочеркивать, про:PREF/черк:ROOT/ива:SUFF/ть:SUFF, про:PREF/черк:ROOT/ив:SUFF/ать:END, VERB
приговорить, при:PREF/говор:ROOT/и:SUFF/ть:SUFF, при:PREF/говор:ROOT/ить:END, VERB
причащать, причащ:ROOT/а:SUFF/ть:SUFF, при:PREF/чащ:ROOT/ать:END, VERB
забеливать, за:PREF/бел:ROOT/ива:SUFF/ть:SUFF, за:PREF/бел:ROOT/ив:SUFF/ать:END, VERB
осмотреть, о:PREF/смотр:ROOT/е:SUFF/ть:SUFF, о:PREF/смотр:ROOT/еть:END, VERB
означить, о:PREF/знач:ROOT/и:SUFF/ть:SUFF, о:PREF/знач:ROOT/ить:END, VERB
перебрать, пере:PREF/бр:ROOT/а:SUFF/ть:SUFF, пере:PREF/бр:ROOT/ать:END, VERB
добывать, добы:ROOT/ва:SUFF/ть:SUFF, до:PREF/быв:ROOT/ать:END, VERB
сбривать, с:PREF/бр:ROOT/и:SUFF/ва:SUFF/ть:SUFF, с:PREF/бр:ROOT/ив:SUFF/ать:END, VERB
смотреть, смотр:ROOT/е:SUFF/ть:SUFF, смотр:ROOT/еть:END, VERB
заслушиваться, за:PREF/слуш:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/слуш:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
отступать, от:PREF/ступ:ROOT/а:SUFF/ть:SUFF, от:PREF/ступ:ROOT/ать:END, VERB
облегчить, об:PREF/легч:ROOT/и:SUFF/ть:SUFF, об:PREF/лег:ROOT/ч:SUFF/ить:END, VERB
прибредать, при:PREF/бред:ROOT/а:SUFF/ть:SUFF, при:PREF/бред:ROOT/ать:END, VERB
упоминаться, у:PREF/помин:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/помин:ROOT/ать:END/ся:POSTFIX, VERB
упиваться, у:PREF/пи:ROOT/ва:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/пив:ROOT/ать:END/ся:POSTFIX, VERB
выкипать, вы:PREF/кип:ROOT/а:SUFF/ть:SUFF, вы:PREF/кип:ROOT/ать:END, VERB
перекрыть, пере:PREF/кры:ROOT/ть:SUFF, пере:PREF/кры:ROOT/ть:END, VERB
укачаться, у:PREF/кач:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/кач:ROOT/ать:END/ся:POSTFIX, VERB
рассматривать, рас:PREF/сматр:ROOT/ива:SUFF/ть:SUFF, рас:PREF/сматр:ROOT/ив:SUFF/ать:END, VERB
поедать, по:PREF/ед:ROOT/а:SUFF/ть:SUFF, по:PREF/ед:ROOT/ать:END, VERB
преступить, преступ:ROOT/и:SUFF/ть:SUFF, пре:PREF/ступ:ROOT/ить:END, VERB
забаюкать, за:PREF/ба:ROOT/ю:SUFF/ка:SUFF/ть:SUFF, за:PREF/баюк:ROOT/ать:END, VERB
перебинтовываться, пере:PREF/бинт:ROOT/ов:SUFF/ыва:SUFF/ть:SUFF/ся:POSTFIX, пере:PREF/бинт:ROOT/ов:SUFF/ыв:SUFF/ать:END/ся:POSTFIX, VERB
полить, по:PREF/ли:ROOT/ть:SUFF, по:PREF/ли:ROOT/ть:END, VERB
увязывать, у:PREF/вяз:ROOT/ыва:SUFF/ть:SUFF, у:PREF/вяз:ROOT/ыв:SUFF/ать:END, VERB
выбивать, вы:PREF/би:ROOT/ва:SUFF/ть:SUFF, вы:PREF/би:ROOT/ва:SUFF/ть:END, VERB
уписать, у:PREF/пис:ROOT/а:SUFF/ть:SUFF, у:PREF/пис:ROOT/ать:END, VERB
сварить, с:PREF/вар:ROOT/и:SUFF/ть:SUFF, с:PREF/вар:ROOT/ить:END, VERB
выбредать, вы:PREF/бред:ROOT/а:SUFF/ть:SUFF, вы:PREF/бред:ROOT/ать:END, VERB
вырубать, вы:PREF/руб:ROOT/а:SUFF/ть:SUFF, вы:PREF/руб:ROOT/ать:END, VERB
распереть, рас:PREF/пер:ROOT/е:SUFF/ть:SUFF, рас:PREF/пер:ROOT/еть:END, VERB
анализироваться, анализ:ROOT/ир:SUFF/ова:SUFF/ть:SUFF/ся:POSTFIX, анализ:ROOT/ир:SUFF/ов:SUFF/ать:END/ся:POSTFIX, VERB
выдвинуться, вы:PREF/дви:ROOT/ну:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/дви:ROOT/н:SUFF/уть:END/ся:POSTFIX, VERB
разбросить, раз:PREF/брос:ROOT/и:SUFF/ть:SUFF, раз:PREF/брос:ROOT/ить:END, VERB
вселяться, в:PREF/сел:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, в:PREF/сел:ROOT/ять:END/ся:POSTFIX, VERB
разъесть, разъ:ROOT/ес:ROOT/ть:SUFF, разъ:PREF/ес:ROOT/ть:END, VERB
обить, о:PREF/би:ROOT/ть:SUFF, о:PREF/би:ROOT/ть:END, VERB
спустить, с:PREF/пуст:ROOT/и:SUFF/ть:SUFF, с:PREF/пуст:ROOT/ить:END, VERB
предвозвещаться, пред:PREF/воз:PREF/вещ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, пред:PREF/воз:SUFF/вещ:ROOT/ать:END/ся:POSTFIX, VERB
вытянуться, вы:PREF/тя:ROOT/ну:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/тя:ROOT/н:SUFF/уть:END/ся:POSTFIX, VERB
вырождаться, вы:PREF/рожд:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/рожд:ROOT/ать:END/ся:POSTFIX, VERB
хозяйствовать, хозяй:ROOT/ств:SUFF/ова:SUFF/ть:SUFF, хозяй:ROOT/ств:SUFF/ов:SUFF/ать:END, VERB
закруглить, за:PREF/кругл:ROOT/и:SUFF/ть:SUFF, за:PREF/кругл:ROOT/ить:END, VERB
оживлять, о:PREF/жи:ROOT/вл:ROOT/я:SUFF/ть:SUFF, о:PREF/живл:ROOT/ять:END, VERB
выродиться, вы:PREF/род:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/род:ROOT/ить:END/ся:POSTFIX, VERB
выморозить, вы:PREF/мороз:ROOT/и:SUFF/ть:SUFF, вы:PREF/мороз:ROOT/ить:END, VERB
обговорить, об:PREF/говор:ROOT/и:SUFF/ть:SUFF, об:PREF/говор:ROOT/ить:END, VERB
объяснять, объ:ROOT/ясн:ROOT/я:SUFF/ть:SUFF, объ:PREF/ясн:ROOT/ять:END, VERB
пробеливаться, про:PREF/бел:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, про:PREF/бел:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
забронировать, за:PREF/брон:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, за:PREF/брон:ROOT/ир:SUFF/ов:SUFF/ать:END, VERB
примолкнуть, при:PREF/молк:ROOT/ну:SUFF/ть:SUFF, при:PREF/молк:ROOT/н:SUFF/уть:END, VERB
избиться, из:PREF/би:ROOT/ть:SUFF/ся:POSTFIX, из:PREF/би:ROOT/ть:END/ся:POSTFIX, VERB
оббиваться, об:PREF/би:ROOT/ва:SUFF/ть:SUFF/ся:POSTFIX, об:PREF/би:ROOT/ва:SUFF/ть:END/ся:POSTFIX, VERB
обмануть, обма:ROOT/ну:SUFF/ть:SUFF, об:PREF/ман:ROOT/уть:END, VERB
втравиться, в:PREF/трав:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, в:PREF/трав:ROOT/ить:END/ся:POSTFIX, VERB
утянуть, у:PREF/тя:ROOT/ну:SUFF/ть:SUFF, у:PREF/тя:ROOT/н:SUFF/уть:END, VERB
дождаться, до:PREF/жд:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, до:PREF/жд:ROOT/ать:END/ся:POSTFIX, VERB
вообразить, вообраз:ROOT/и:SUFF/ть:SUFF, во:PREF/образ:ROOT/ить:END, VERB
впадать, в:PREF/пад:ROOT/а:SUFF/ть:SUFF, в:PREF/пад:ROOT/ать:END, VERB
вчитаться, в:PREF/чит:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, в:PREF/чит:ROOT/ать:END/ся:POSTFIX, VERB
направлять, направл:ROOT/я:SUFF/ть:SUFF, на:PREF/правл:ROOT/ять:END, VERB
налиться, на:PREF/ли:ROOT/ть:SUFF/ся:POSTFIX, на:PREF/ли:ROOT/ть:END/ся:POSTFIX, VERB
налагать, налаг:ROOT/а:SUFF/ть:SUFF, на:PREF/лаг:ROOT/ать:END, VERB
выслушивать, вы:PREF/слуш:ROOT/ива:SUFF/ть:SUFF, вы:PREF/слуш:ROOT/ив:SUFF/ать:END, VERB
спускаться, с:PREF/пуск:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/пуск:ROOT/ать:END/ся:POSTFIX, VERB
развеивать, раз:PREF/ве:ROOT/ива:SUFF/ть:SUFF, раз:PREF/ве:ROOT/ив:SUFF/ать:END, VERB
уродиться, у:PREF/род:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/род:ROOT/ить:END/ся:POSTFIX, VERB
затихать, за:PREF/тих:ROOT/а:SUFF/ть:SUFF, за:PREF/тих:ROOT/ать:END, VERB
вытягивать, вы:PREF/тяг:ROOT/ива:SUFF/ть:SUFF, вы:PREF/тяг:ROOT/ив:SUFF/ать:END, VERB
наболтать, на:PREF/болт:ROOT/а:SUFF/ть:SUFF, на:PREF/болт:ROOT/ать:END, VERB
выдаться, выда:ROOT/ть:SUFF/ся:POSTFIX, вы:PREF/да:ROOT/ть:END/ся:POSTFIX, VERB
вытянуть, вы:PREF/тя:ROOT/ну:SUFF/ть:SUFF, вы:PREF/тя:ROOT/н:SUFF/уть:END, VERB
приплачиваться, при:PREF/плач:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, при:PREF/плач:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
брикетировать, брикет:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, брикет:ROOT/ир:SUFF/ов:SUFF/ать:END, VERB
умещать, у:PREF/мещ:ROOT/а:SUFF/ть:SUFF, у:PREF/мещ:ROOT/ать:END, VERB
упускать, у:PREF/пуск:ROOT/а:SUFF/ть:SUFF, у:PREF/пуск:ROOT/ать:END, VERB
выяснять, вы:PREF/ясн:ROOT/я:SUFF/ть:SUFF, вы:PREF/ясн:ROOT/ять:END, VERB
запечатлеться, за:PREF/печатл:ROOT/е:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/печатл:ROOT/еть:END/ся:POSTFIX, VERB
наготовить, на:PREF/готов:ROOT/и:SUFF/ть:SUFF, на:PREF/готов:ROOT/ить:END, VERB
поломать, по:PREF/лом:ROOT/а:SUFF/ть:SUFF, по:PREF/лом:ROOT/ать:END, VERB
призываться, при:PREF/зыв:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, при:PREF/зыв:ROOT/ать:END/ся:POSTFIX, VERB
набродиться, на:PREF/брод:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, на:PREF/брод:ROOT/ить:END/ся:POSTFIX, VERB
заострять, за:PREF/остр:ROOT/я:SUFF/ть:SUFF, за:PREF/остр:ROOT/ять:END, VERB
распиливать, рас:PREF/пил:ROOT/ива:SUFF/ть:SUFF, рас:PREF/пил:ROOT/ив:SUFF/ать:END, VERB
выстраивать, вы:PREF/стра:ROOT/ива:SUFF/ть:SUFF, вы:PREF/стра:ROOT/ив:SUFF/ать:END, VERB
продрать, про:PREF/др:ROOT/а:SUFF/ть:SUFF, про:PREF/др:ROOT/ать:END, VERB
переселиться, пере:PREF/сел:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, пере:PREF/сел:ROOT/ить:END/ся:POSTFIX, VERB
поаплодировать, по:PREF/аплод:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, по:PREF/аплод:ROOT/ир:SUFF/ов:SUFF/ать:END, VERB
надписывать, над:PREF/пис:ROOT/ыва:SUFF/ть:SUFF, над:PREF/пис:ROOT/ыв:SUFF/ать:END, VERB
сдобрить, сдобр:ROOT/и:SUFF/ть:SUFF, с:PREF/добр:ROOT/ить:END, VERB
загадываться, за:PREF/гад:ROOT/ыва:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/гад:ROOT/ыв:SUFF/ать:END/ся:POSTFIX, VERB
замеситься, за:PREF/мес:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/мес:ROOT/ить:END/ся:POSTFIX, VERB
выломить, вы:PREF/лом:ROOT/и:SUFF/ть:SUFF, вы:PREF/лом:ROOT/ить:END, VERB
добежать, до:PREF/беж:ROOT/а:SUFF/ть:SUFF, до:PREF/беж:ROOT/ать:END, VERB
задвинуть, за:PREF/дви:ROOT/ну:SUFF/ть:SUFF, за:PREF/двин:ROOT/уть:END, VERB
сломаться, с:PREF/лом:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/лом:ROOT/ать:END/ся:POSTFIX, VERB
развернуться, раз:PREF/вер:ROOT/ну:SUFF/ть:SUFF/ся:POSTFIX, раз:PREF/вер:ROOT/н:SUFF/уть:END/ся:POSTFIX, VERB
подкопать, под:PREF/коп:ROOT/а:SUFF/ть:SUFF, под:PREF/коп:ROOT/ать:END, VERB
подложить, под:PREF/лож:ROOT/и:SUFF/ть:SUFF, под:PREF/лож:ROOT/ить:END, VERB
тряхнуться, трях:ROOT/ну:SUFF/ть:SUFF/ся:POSTFIX, трях:ROOT/н:SUFF/уть:END/ся:POSTFIX, VERB
запахнуться, за:PREF/пах:ROOT/ну:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/пах:ROOT/н:SUFF/уть:END/ся:POSTFIX, VERB
вспухать, вс:PREF/пух:ROOT/а:SUFF/ть:SUFF, вс:PREF/пух:ROOT/ать:END, VERB
вечереть, вечер:ROOT/е:SUFF/ть:SUFF, вечер:ROOT/еть:END, VERB
переноситься, пере:PREF/нос:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, пере:PREF/нос:ROOT/ить:END/ся:POSTFIX, VERB
перепиться, пере:PREF/пи:ROOT/ть:SUFF/ся:POSTFIX, пере:PREF/пи:ROOT/ть:END/ся:POSTFIX, VERB
наварить, на:PREF/вар:ROOT/и:SUFF/ть:SUFF, на:PREF/вар:ROOT/ить:END, VERB
возводить, воз:PREF/вод:ROOT/и:SUFF/ть:SUFF, воз:PREF/вод:ROOT/ить:END, VERB
подстилать, под:PREF/стил:ROOT/а:SUFF/ть:SUFF, под:PREF/стил:ROOT/ать:END, VERB
составить, состав:ROOT/и:SUFF/ть:SUFF, со:PREF/став:ROOT/ить:END, VERB
раскрыть, рас:PREF/кры:ROOT/ть:SUFF, рас:PREF/кры:ROOT/ть:END, VERB
покопать, по:PREF/коп:ROOT/а:SUFF/ть:SUFF, по:PREF/коп:ROOT/ать:END, VERB
проясниться, про:PREF/ясн:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, про:PREF/ясн:ROOT/ить:END/ся:POSTFIX, VERB
завышать, за:PREF/выш:ROOT/а:SUFF/ть:SUFF, за:PREF/выш:ROOT/ать:END, VERB
познакомить, по:PREF/знаком:ROOT/и:SUFF/ть:SUFF, по:PREF/знак:ROOT/ом:SUFF/ить:END, VERB
учить, уч:ROOT/и:SUFF/ть:SUFF, уч:ROOT/ить:END, VERB
подсказывать, под:PREF/сказ:ROOT/ыва:SUFF/ть:SUFF, под:PREF/сказ:ROOT/ыв:SUFF/ать:END, VERB
перебросить, пере:PREF/брос:ROOT/и:SUFF/ть:SUFF, пере:PREF/брос:ROOT/ить:END, VERB
бряцать, бряц:ROOT/а:SUFF/ть:SUFF, бряц:ROOT/ать:END, VERB
возвышать, воз:PREF/выш:ROOT/а:SUFF/ть:SUFF, воз:PREF/выш:ROOT/ать:END, VERB
расправлять, рас:PREF/правл:ROOT/я:SUFF/ть:SUFF, рас:PREF/правл:ROOT/ять:END, VERB
ручаться, руч:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, руч:ROOT/ать:END/ся:POSTFIX, VERB
покрыться, по:PREF/кры:ROOT/ть:SUFF/ся:POSTFIX, по:PREF/кры:ROOT/ть:END/ся:POSTFIX, VERB
донять, доня:ROOT/ть:SUFF, до:PREF/н:ROOT/ять:END, VERB
обежать, о:PREF/беж:ROOT/а:SUFF/ть:SUFF, о:PREF/беж:ROOT/ать:END, VERB
выждать, вы:PREF/жд:ROOT/а:SUFF/ть:SUFF, вы:PREF/жд:ROOT/ать:END, VERB
прихватить, при:PREF/хват:ROOT/и:SUFF/ть:SUFF, при:PREF/хват:ROOT/ить:END, VERB
аплодировать, аплод:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, аплод:ROOT/ир:SUFF/ов:SUFF/ать:END, VERB
обойтись, обо:PREF/й:ROOT/ти:SUFF/сь:POSTFIX, обо:PREF/й:ROOT/ти:END/сь:POSTFIX, VERB
отмалчиваться, от:PREF/малч:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, от:PREF/малч:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
столкнуть, с:PREF/толк:ROOT/ну:SUFF/ть:SUFF, с:PREF/толк:ROOT/н:SUFF/уть:END, VERB
привечать, привеч:ROOT/а:SUFF/ть:SUFF, привеч:ROOT/ать:END, VERB
сравнить, сравн:ROOT/и:SUFF/ть:SUFF, с:PREF/равн:ROOT/ить:END, VERB
вести, вес:ROOT/ти:SUFF, вест:ROOT/и:END, VERB
бронироваться, брон:ROOT/ир:SUFF/ова:SUFF/ть:SUFF/ся:POSTFIX, брон:ROOT/ир:SUFF/ов:SUFF/ать:END/ся:POSTFIX, VERB
переколоть, пере:PREF/кол:ROOT/о:SUFF/ть:SUFF, пере:PREF/кол:ROOT/оть:END, VERB
выбираться, вы:PREF/бир:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/бир:ROOT/ать:END/ся:POSTFIX, VERB
подвозиться, под:PREF/воз:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, под:PREF/воз:ROOT/ить:END/ся:POSTFIX, VERB
отпороть, от:PREF/пор:ROOT/о:SUFF/ть:SUFF, от:PREF/пор:ROOT/оть:END, VERB
прохватить, про:PREF/хват:ROOT/и:SUFF/ть:SUFF, про:PREF/хват:ROOT/ить:END, VERB
треснуть, трес:ROOT/ну:SUFF/ть:SUFF, тресн:ROOT/уть:END, VERB
зашить, за:PREF/ши:ROOT/ть:SUFF, за:PREF/ши:ROOT/ть:END, VERB
проложить, про:PREF/лож:ROOT/и:SUFF/ть:SUFF, про:PREF/лож:ROOT/ить:END, VERB
ворваться, во:PREF/рв:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, во:PREF/рв:ROOT/ать:END/ся:POSTFIX, VERB
навесить, на:PREF/вес:ROOT/и:SUFF/ть:SUFF, на:PREF/вес:ROOT/ить:END, VERB
вкалывать, в:PREF/кал:ROOT/ыва:SUFF/ть:SUFF, в:PREF/кал:ROOT/ыв:SUFF/ать:END, VERB
выискать, вы:PREF/иск:ROOT/а:SUFF/ть:SUFF, вы:PREF/иск:ROOT/ать:END, VERB
выбелить, вы:PREF/бел:ROOT/и:SUFF/ть:SUFF, вы:PREF/бел:ROOT/ить:END, VERB
прописываться, про:PREF/пис:ROOT/ыва:SUFF/ть:SUFF/ся:POSTFIX, про:PREF/пис:ROOT/ыв:SUFF/ать:END/ся:POSTFIX, VERB
разучить, раз:PREF/уч:ROOT/и:SUFF/ть:SUFF, раз:PREF/уч:ROOT/ить:END, VERB
вывалять, вы:PREF/вал:ROOT/я:SUFF/ть:SUFF, вы:PREF/вал:ROOT/ять:END, VERB
сформовать, с:PREF/форм:ROOT/ова:SUFF/ть:SUFF, с:PREF/форм:ROOT/ов:SUFF/ать:END, VERB
браться, бр:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, бр:ROOT/ать:END/ся:POSTFIX, VERB
промерзать, про:PREF/мерз:ROOT/а:SUFF/ть:SUFF, про:PREF/мерз:ROOT/ать:END, VERB
забинтовывать, за:PREF/бинт:ROOT/ов:SUFF/ыва:SUFF/ть:SUFF, за:PREF/бинт:ROOT/ов:SUFF/ыв:SUFF/ать:END, VERB
пожаловаться, по:PREF/жалова:ROOT/ть:SUFF/ся:POSTFIX, по:PREF/жал:ROOT/ов:SUFF/ать:END/ся:POSTFIX, VERB
заводиться, за:PREF/вод:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/вод:ROOT/ить:END/ся:POSTFIX, VERB
увенчаться, у:PREF/венч:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/венч:ROOT/ать:END/ся:POSTFIX, VERB
предсказывать, пред:PREF/сказ:ROOT/ыва:SUFF/ть:SUFF, пред:PREF/сказ:ROOT/ыв:SUFF/ать:END, VERB
перерешить, пере:PREF/реш:ROOT/и:SUFF/ть:SUFF, пере:PREF/реш:ROOT/ить:END, VERB
сыпаться, сып:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, сып:ROOT/ать:END/ся:POSTFIX, VERB
занижаться, за:PREF/ниж:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/ниж:ROOT/ать:END/ся:POSTFIX, VERB
стянуть, с:PREF/тя:ROOT/ну:SUFF/ть:SUFF, с:PREF/тя:ROOT/н:SUFF/уть:END, VERB
закалывать, за:PREF/кал:ROOT/ыва:SUFF/ть:SUFF, за:PREF/кал:ROOT/ыв:SUFF/ать:END, VERB
изваять, из:PREF/вая:ROOT/ть:SUFF, из:PREF/ва:ROOT/ять:END, VERB
рубить, руб:ROOT/и:SUFF/ть:SUFF, руб:ROOT/ить:END, VERB
приискать, при:PREF/иск:ROOT/а:SUFF/ть:SUFF, при:PREF/иск:ROOT/ать:END, VERB
оживать, о:PREF/жи:ROOT/ва:SUFF/ть:SUFF, о:PREF/жив:ROOT/ать:END, VERB
вычищать, вы:PREF/чищ:ROOT/а:SUFF/ть:SUFF, вы:PREF/чищ:ROOT/ать:END, VERB
выстудить, вы:PREF/студ:ROOT/и:SUFF/ть:SUFF, вы:PREF/студ:ROOT/ить:END, VERB
заваривать, за:PREF/вар:ROOT/ива:SUFF/ть:SUFF, за:PREF/вар:ROOT/ив:SUFF/ать:END, VERB
перемешаться, пере:PREF/меш:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, пере:PREF/меш:ROOT/ать:END/ся:POSTFIX, VERB
отказывать, отказ:ROOT/ыва:SUFF/ть:SUFF, от:PREF/каз:ROOT/ыв:SUFF/ать:END, VERB
продеть, про:PREF/де:ROOT/ть:SUFF, про:PREF/де:ROOT/ть:END, VERB
усыпаться, у:PREF/сып:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/сып:ROOT/ать:END/ся:POSTFIX, VERB
сберегаться, с:PREF/берег:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/берег:ROOT/ать:END/ся:POSTFIX, VERB
